feature,target_label,threshold,tp,fn,fp,tn,window_sensitivity,window_false_positive_rate,window_specificity,window_precision,event_detection_rate,target_event_count,normal_recording_false_alarm_rate,normal_recording_count
gyro_max_dps,near_miss,5.73469,24,0,918,35,1.0,0.96327,0.03673,0.02548,1.0,4,1.0,4
gyro_max_dps,near_miss,6.33149,24,0,917,36,1.0,0.96222,0.03778,0.0255,1.0,4,1.0,4
gyro_max_dps,near_miss,6.92829,24,0,917,36,1.0,0.96222,0.03778,0.0255,1.0,4,1.0,4
gyro_max_dps,near_miss,6.93404,24,0,916,37,1.0,0.96118,0.03882,0.02553,1.0,4,1.0,4
gyro_max_dps,near_miss,6.9398,24,0,916,37,1.0,0.96118,0.03882,0.02553,1.0,4,1.0,4
gyro_max_dps,near_miss,6.98649,24,0,915,38,1.0,0.96013,0.03987,0.02556,1.0,4,1.0,4
gyro_max_dps,near_miss,7.03318,24,0,915,38,1.0,0.96013,0.03987,0.02556,1.0,4,1.0,4
gyro_max_dps,near_miss,7.2178,24,0,914,39,1.0,0.95908,0.04092,0.02559,1.0,4,1.0,4
gyro_max_dps,near_miss,7.40243,24,0,914,39,1.0,0.95908,0.04092,0.02559,1.0,4,1.0,4
gyro_max_dps,near_miss,7.59298,24,0,913,40,1.0,0.95803,0.04197,0.02561,1.0,4,1.0,4
gyro_max_dps,near_miss,7.78352,24,0,913,40,1.0,0.95803,0.04197,0.02561,1.0,4,1.0,4
gyro_max_dps,near_miss,8.34937,24,0,911,42,1.0,0.95593,0.04407,0.02567,1.0,4,1.0,4
gyro_max_dps,near_miss,8.91521,24,0,911,42,1.0,0.95593,0.04407,0.02567,1.0,4,1.0,4
gyro_max_dps,near_miss,9.24841,24,0,910,43,1.0,0.95488,0.04512,0.0257,1.0,4,1.0,4
gyro_max_dps,near_miss,9.58161,24,0,910,43,1.0,0.95488,0.04512,0.0257,1.0,4,1.0,4
gyro_max_dps,near_miss,10.10555,24,0,909,44,1.0,0.95383,0.04617,0.02572,1.0,4,1.0,4
gyro_max_dps,near_miss,10.6295,24,0,909,44,1.0,0.95383,0.04617,0.02572,1.0,4,1.0,4
gyro_max_dps,near_miss,11.20119,24,0,907,46,1.0,0.95173,0.04827,0.02578,1.0,4,1.0,4
gyro_max_dps,near_miss,11.77288,24,0,907,46,1.0,0.95173,0.04827,0.02578,1.0,4,1.0,4
gyro_max_dps,near_miss,12.11955,24,0,905,48,1.0,0.94963,0.05037,0.02583,1.0,4,1.0,4
gyro_max_dps,near_miss,12.46622,24,0,905,48,1.0,0.94963,0.05037,0.02583,1.0,4,1.0,4
gyro_max_dps,near_miss,12.60119,24,0,904,49,1.0,0.94858,0.05142,0.02586,1.0,4,1.0,4
gyro_max_dps,near_miss,12.73616,24,0,904,49,1.0,0.94858,0.05142,0.02586,1.0,4,1.0,4
gyro_max_dps,near_miss,13.24724,24,0,902,51,1.0,0.94648,0.05352,0.02592,1.0,4,1.0,4
gyro_max_dps,near_miss,13.75832,24,0,902,51,1.0,0.94648,0.05352,0.02592,1.0,4,1.0,4
gyro_max_dps,near_miss,15.1644,24,0,901,52,1.0,0.94544,0.05456,0.02595,1.0,4,1.0,4
gyro_max_dps,near_miss,16.57048,24,0,901,52,1.0,0.94544,0.05456,0.02595,1.0,4,1.0,4
gyro_max_dps,near_miss,16.61176,24,0,900,53,1.0,0.94439,0.05561,0.02597,1.0,4,1.0,4
gyro_max_dps,near_miss,16.65304,24,0,900,53,1.0,0.94439,0.05561,0.02597,1.0,4,1.0,4
gyro_max_dps,near_miss,16.87656,24,0,898,55,1.0,0.94229,0.05771,0.02603,1.0,4,1.0,4
gyro_max_dps,near_miss,17.10009,24,0,898,55,1.0,0.94229,0.05771,0.02603,1.0,4,1.0,4
gyro_max_dps,near_miss,18.44213,24,0,897,56,1.0,0.94124,0.05876,0.02606,1.0,4,1.0,4
gyro_max_dps,near_miss,19.78417,24,0,897,56,1.0,0.94124,0.05876,0.02606,1.0,4,1.0,4
gyro_max_dps,near_miss,19.79004,24,0,896,57,1.0,0.94019,0.05981,0.02609,1.0,4,1.0,4
gyro_max_dps,near_miss,19.79591,24,0,896,57,1.0,0.94019,0.05981,0.02609,1.0,4,1.0,4
gyro_max_dps,near_miss,21.40066,24,0,895,58,1.0,0.93914,0.06086,0.02612,1.0,4,1.0,4
gyro_max_dps,near_miss,23.00541,24,0,895,58,1.0,0.93914,0.06086,0.02612,1.0,4,1.0,4
gyro_max_dps,near_miss,23.06496,24,0,894,59,1.0,0.93809,0.06191,0.02614,1.0,4,1.0,4
gyro_max_dps,near_miss,23.12451,24,0,894,59,1.0,0.93809,0.06191,0.02614,1.0,4,1.0,4
gyro_max_dps,near_miss,23.3771,24,0,893,60,1.0,0.93704,0.06296,0.02617,1.0,4,1.0,4
gyro_max_dps,near_miss,23.6297,24,0,893,60,1.0,0.93704,0.06296,0.02617,1.0,4,1.0,4
gyro_max_dps,near_miss,24.50921,24,0,892,61,1.0,0.93599,0.06401,0.0262,1.0,4,1.0,4
gyro_max_dps,near_miss,25.38873,24,0,892,61,1.0,0.93599,0.06401,0.0262,1.0,4,1.0,4
gyro_max_dps,near_miss,26.04131,24,0,891,62,1.0,0.93494,0.06506,0.02623,1.0,4,1.0,4
gyro_max_dps,near_miss,26.6939,24,0,891,62,1.0,0.93494,0.06506,0.02623,1.0,4,1.0,4
gyro_max_dps,near_miss,27.13552,24,0,890,63,1.0,0.93389,0.06611,0.02626,1.0,4,1.0,4
gyro_max_dps,near_miss,27.57714,24,0,890,63,1.0,0.93389,0.06611,0.02626,1.0,4,1.0,4
gyro_max_dps,near_miss,27.7965,24,0,889,64,1.0,0.93284,0.06716,0.02629,1.0,4,1.0,4
gyro_max_dps,near_miss,28.01587,24,0,889,64,1.0,0.93284,0.06716,0.02629,1.0,4,1.0,4
gyro_max_dps,near_miss,28.14088,24,0,888,65,1.0,0.93179,0.06821,0.02632,1.0,4,1.0,4
gyro_max_dps,near_miss,28.2659,24,0,888,65,1.0,0.93179,0.06821,0.02632,1.0,4,1.0,4
gyro_max_dps,near_miss,29.03709,24,0,887,66,1.0,0.93075,0.06925,0.02634,1.0,4,1.0,4
gyro_max_dps,near_miss,29.80828,24,0,887,66,1.0,0.93075,0.06925,0.02634,1.0,4,1.0,4
gyro_max_dps,near_miss,29.96379,24,0,886,67,1.0,0.9297,0.0703,0.02637,1.0,4,1.0,4
gyro_max_dps,near_miss,30.1193,24,0,886,67,1.0,0.9297,0.0703,0.02637,1.0,4,1.0,4
gyro_max_dps,near_miss,32.34977,24,0,885,68,1.0,0.92865,0.07135,0.0264,1.0,4,1.0,4
gyro_max_dps,near_miss,34.58024,24,0,885,68,1.0,0.92865,0.07135,0.0264,1.0,4,1.0,4
gyro_max_dps,near_miss,35.14886,24,0,884,69,1.0,0.9276,0.0724,0.02643,1.0,4,1.0,4
gyro_max_dps,near_miss,35.71748,24,0,884,69,1.0,0.9276,0.0724,0.02643,1.0,4,1.0,4
gyro_max_dps,near_miss,36.06318,24,0,883,70,1.0,0.92655,0.07345,0.02646,1.0,4,1.0,4
gyro_max_dps,near_miss,36.40888,24,0,883,70,1.0,0.92655,0.07345,0.02646,1.0,4,1.0,4
gyro_max_dps,near_miss,36.77018,24,0,882,71,1.0,0.9255,0.0745,0.02649,1.0,4,1.0,4
gyro_max_dps,near_miss,37.13149,24,0,882,71,1.0,0.9255,0.0745,0.02649,1.0,4,1.0,4
gyro_max_dps,near_miss,37.66296,24,0,881,72,1.0,0.92445,0.07555,0.02652,1.0,4,1.0,4
gyro_max_dps,near_miss,38.19444,24,0,881,72,1.0,0.92445,0.07555,0.02652,1.0,4,1.0,4
gyro_max_dps,near_miss,39.06402,24,0,880,73,1.0,0.9234,0.0766,0.02655,1.0,4,1.0,4
gyro_max_dps,near_miss,39.9336,24,0,880,73,1.0,0.9234,0.0766,0.02655,1.0,4,1.0,4
gyro_max_dps,near_miss,42.12322,24,0,879,74,1.0,0.92235,0.07765,0.02658,1.0,4,1.0,4
gyro_max_dps,near_miss,44.31283,24,0,879,74,1.0,0.92235,0.07765,0.02658,1.0,4,1.0,4
gyro_max_dps,near_miss,45.04493,24,0,878,75,1.0,0.9213,0.0787,0.02661,1.0,4,1.0,4
gyro_max_dps,near_miss,45.77704,24,0,878,75,1.0,0.9213,0.0787,0.02661,1.0,4,1.0,4
gyro_max_dps,near_miss,46.26207,24,0,877,76,1.0,0.92025,0.07975,0.02664,1.0,4,1.0,4
gyro_max_dps,near_miss,46.7471,24,0,877,76,1.0,0.92025,0.07975,0.02664,1.0,4,1.0,4
gyro_max_dps,near_miss,47.25352,24,0,876,77,1.0,0.9192,0.0808,0.02667,1.0,4,1.0,4
gyro_max_dps,near_miss,47.75993,24,0,876,77,1.0,0.9192,0.0808,0.02667,1.0,4,1.0,4
gyro_max_dps,near_miss,49.12682,24,0,874,79,1.0,0.9171,0.0829,0.02673,1.0,4,1.0,4
gyro_max_dps,near_miss,50.49372,24,0,874,79,1.0,0.9171,0.0829,0.02673,1.0,4,1.0,4
gyro_max_dps,near_miss,50.60018,24,0,873,80,1.0,0.91605,0.08395,0.02676,1.0,4,1.0,4
gyro_max_dps,near_miss,50.70665,24,0,873,80,1.0,0.91605,0.08395,0.02676,1.0,4,1.0,4
gyro_max_dps,near_miss,53.60882,24,0,872,81,1.0,0.91501,0.08499,0.02679,1.0,4,1.0,4
gyro_max_dps,near_miss,56.51098,24,0,872,81,1.0,0.91501,0.08499,0.02679,1.0,4,1.0,4
gyro_max_dps,near_miss,56.851,24,0,871,82,1.0,0.91396,0.08604,0.02682,1.0,4,1.0,4
gyro_max_dps,near_miss,57.19101,24,0,871,82,1.0,0.91396,0.08604,0.02682,1.0,4,1.0,4
gyro_max_dps,near_miss,57.33149,24,0,870,83,1.0,0.91291,0.08709,0.02685,1.0,4,1.0,4
gyro_max_dps,near_miss,57.47197,24,0,870,83,1.0,0.91291,0.08709,0.02685,1.0,4,1.0,4
gyro_max_dps,near_miss,58.17266,24,0,869,84,1.0,0.91186,0.08814,0.02688,1.0,4,1.0,4
gyro_max_dps,near_miss,58.87335,24,0,869,84,1.0,0.91186,0.08814,0.02688,1.0,4,1.0,4
gyro_max_dps,near_miss,59.71494,24,0,868,85,1.0,0.91081,0.08919,0.02691,1.0,4,1.0,4
gyro_max_dps,near_miss,60.55654,24,0,868,85,1.0,0.91081,0.08919,0.02691,1.0,4,1.0,4
gyro_max_dps,near_miss,61.01423,24,0,867,86,1.0,0.90976,0.09024,0.02694,1.0,4,1.0,4
gyro_max_dps,near_miss,61.47192,24,0,867,86,1.0,0.90976,0.09024,0.02694,1.0,4,1.0,4
gyro_max_dps,near_miss,61.8625,24,0,866,87,1.0,0.90871,0.09129,0.02697,1.0,4,1.0,4
gyro_max_dps,near_miss,62.25308,24,0,866,87,1.0,0.90871,0.09129,0.02697,1.0,4,1.0,4
gyro_max_dps,near_miss,63.19836,24,0,865,88,1.0,0.90766,0.09234,0.027,1.0,4,1.0,4
gyro_max_dps,near_miss,64.14365,24,0,865,88,1.0,0.90766,0.09234,0.027,1.0,4,1.0,4
gyro_max_dps,near_miss,64.24857,24,0,864,89,1.0,0.90661,0.09339,0.02703,1.0,4,1.0,4
gyro_max_dps,near_miss,64.35349,24,0,864,89,1.0,0.90661,0.09339,0.02703,1.0,4,1.0,4
gyro_max_dps,near_miss,65.28896,24,0,863,90,1.0,0.90556,0.09444,0.02706,1.0,4,1.0,4
gyro_max_dps,near_miss,66.22443,24,0,863,90,1.0,0.90556,0.09444,0.02706,1.0,4,1.0,4
gyro_max_dps,near_miss,66.54545,24,0,862,91,1.0,0.90451,0.09549,0.02709,1.0,4,1.0,4
gyro_max_dps,near_miss,66.86647,24,0,862,91,1.0,0.90451,0.09549,0.02709,1.0,4,1.0,4
gyro_max_dps,near_miss,69.33526,24,0,861,92,1.0,0.90346,0.09654,0.02712,1.0,4,1.0,4
gyro_max_dps,near_miss,71.80404,24,0,861,92,1.0,0.90346,0.09654,0.02712,1.0,4,1.0,4
gyro_max_dps,near_miss,71.96922,24,0,860,93,1.0,0.90241,0.09759,0.02715,1.0,4,1.0,4
gyro_max_dps,near_miss,72.1344,24,0,860,93,1.0,0.90241,0.09759,0.02715,1.0,4,1.0,4
gyro_max_dps,near_miss,72.59498,24,0,859,94,1.0,0.90136,0.09864,0.02718,1.0,4,1.0,4
gyro_max_dps,near_miss,73.05555,24,0,859,94,1.0,0.90136,0.09864,0.02718,1.0,4,1.0,4
gyro_max_dps,near_miss,73.25692,24,0,858,95,1.0,0.90031,0.09969,0.02721,1.0,4,1.0,4
gyro_max_dps,near_miss,73.45829,24,0,858,95,1.0,0.90031,0.09969,0.02721,1.0,4,1.0,4
gyro_max_dps,near_miss,73.73298,24,0,857,96,1.0,0.89927,0.10073,0.02724,1.0,4,1.0,4
gyro_max_dps,near_miss,74.00768,24,0,857,96,1.0,0.89927,0.10073,0.02724,1.0,4,1.0,4
gyro_max_dps,near_miss,74.05768,24,0,856,97,1.0,0.89822,0.10178,0.02727,1.0,4,1.0,4
gyro_max_dps,near_miss,74.10768,24,0,856,97,1.0,0.89822,0.10178,0.02727,1.0,4,1.0,4
gyro_max_dps,near_miss,74.60866,24,0,855,98,1.0,0.89717,0.10283,0.0273,1.0,4,1.0,4
gyro_max_dps,near_miss,75.10963,24,0,855,98,1.0,0.89717,0.10283,0.0273,1.0,4,1.0,4
gyro_max_dps,near_miss,75.23453,24,0,854,99,1.0,0.89612,0.10388,0.02733,1.0,4,1.0,4
gyro_max_dps,near_miss,75.35943,24,0,854,99,1.0,0.89612,0.10388,0.02733,1.0,4,1.0,4
gyro_max_dps,near_miss,75.43974,24,0,853,100,1.0,0.89507,0.10493,0.02737,1.0,4,1.0,4
gyro_max_dps,near_miss,75.52004,24,0,853,100,1.0,0.89507,0.10493,0.02737,1.0,4,1.0,4
gyro_max_dps,near_miss,75.64159,24,0,852,101,1.0,0.89402,0.10598,0.0274,1.0,4,1.0,4
gyro_max_dps,near_miss,75.76314,24,0,852,101,1.0,0.89402,0.10598,0.0274,1.0,4,1.0,4
gyro_max_dps,near_miss,76.14506,24,0,851,102,1.0,0.89297,0.10703,0.02743,1.0,4,1.0,4
gyro_max_dps,near_miss,76.52699,24,0,851,102,1.0,0.89297,0.10703,0.02743,1.0,4,1.0,4
gyro_max_dps,near_miss,76.54412,24,0,850,103,1.0,0.89192,0.10808,0.02746,1.0,4,1.0,4
gyro_max_dps,near_miss,76.56124,24,0,850,103,1.0,0.89192,0.10808,0.02746,1.0,4,1.0,4
gyro_max_dps,near_miss,77.88505,24,0,849,104,1.0,0.89087,0.10913,0.02749,1.0,4,1.0,4
gyro_max_dps,near_miss,79.20887,24,0,849,104,1.0,0.89087,0.10913,0.02749,1.0,4,1.0,4
gyro_max_dps,near_miss,80.08321,24,0,847,106,1.0,0.88877,0.11123,0.02755,1.0,4,1.0,4
gyro_max_dps,near_miss,80.95755,24,0,847,106,1.0,0.88877,0.11123,0.02755,1.0,4,1.0,4
gyro_max_dps,near_miss,81.46374,24,0,846,107,1.0,0.88772,0.11228,0.02759,1.0,4,1.0,4
gyro_max_dps,near_miss,81.96992,24,0,846,107,1.0,0.88772,0.11228,0.02759,1.0,4,1.0,4
gyro_max_dps,near_miss,82.07702,24,0,845,108,1.0,0.88667,0.11333,0.02762,1.0,4,1.0,4
gyro_max_dps,near_miss,82.18411,24,0,845,108,1.0,0.88667,0.11333,0.02762,1.0,4,1.0,4
gyro_max_dps,near_miss,82.61482,24,0,843,110,1.0,0.88458,0.11542,0.02768,1.0,4,1.0,4
gyro_max_dps,near_miss,83.04553,24,0,843,110,1.0,0.88458,0.11542,0.02768,1.0,4,1.0,4
gyro_max_dps,near_miss,83.0609,24,0,842,111,1.0,0.88353,0.11647,0.02771,1.0,4,1.0,4
gyro_max_dps,near_miss,83.07627,24,0,842,111,1.0,0.88353,0.11647,0.02771,1.0,4,1.0,4
gyro_max_dps,near_miss,83.70966,24,0,841,112,1.0,0.88248,0.11752,0.02775,1.0,4,1.0,4
gyro_max_dps,near_miss,84.34306,24,0,841,112,1.0,0.88248,0.11752,0.02775,1.0,4,1.0,4
gyro_max_dps,near_miss,84.52119,24,0,839,114,1.0,0.88038,0.11962,0.02781,1.0,4,1.0,4
gyro_max_dps,near_miss,84.69932,24,0,839,114,1.0,0.88038,0.11962,0.02781,1.0,4,1.0,4
gyro_max_dps,near_miss,85.1394,24,0,838,115,1.0,0.87933,0.12067,0.02784,1.0,4,1.0,4
gyro_max_dps,near_miss,85.57947,24,0,838,115,1.0,0.87933,0.12067,0.02784,1.0,4,1.0,4
gyro_max_dps,near_miss,85.88796,24,0,837,116,1.0,0.87828,0.12172,0.02787,1.0,4,1.0,4
gyro_max_dps,near_miss,86.19646,24,0,837,116,1.0,0.87828,0.12172,0.02787,1.0,4,1.0,4
gyro_max_dps,near_miss,86.44856,24,0,836,117,1.0,0.87723,0.12277,0.02791,1.0,4,1.0,4
gyro_max_dps,near_miss,86.70065,24,0,836,117,1.0,0.87723,0.12277,0.02791,1.0,4,1.0,4
gyro_max_dps,near_miss,87.01425,24,0,835,118,1.0,0.87618,0.12382,0.02794,1.0,4,1.0,4
gyro_max_dps,near_miss,87.32785,24,0,835,118,1.0,0.87618,0.12382,0.02794,1.0,4,1.0,4
gyro_max_dps,near_miss,87.4199,24,0,834,119,1.0,0.87513,0.12487,0.02797,1.0,4,1.0,4
gyro_max_dps,near_miss,87.51195,24,0,834,119,1.0,0.87513,0.12487,0.02797,1.0,4,1.0,4
gyro_max_dps,near_miss,88.04368,24,0,833,120,1.0,0.87408,0.12592,0.028,1.0,4,1.0,4
gyro_max_dps,near_miss,88.57542,24,0,833,120,1.0,0.87408,0.12592,0.028,1.0,4,1.0,4
