worker,recording_type,source_file,packet_number,timestamp,elapsed_seconds,interval_ms,Xg,Yg,Zg,Xdeg,Ydeg,Zdeg,acceleration_magnitude_g,gyroscope_magnitude_dps
kwanteng,fall_like,KT_Fall_cleaned.csv,56,2026-08-03 12:34:21.547,7.616717,0.5300000000003635,-0.22,-0.42,0.91,0.73,-4.46,-2.08,1.0261091559868276,4.9750276381141845
kwanteng,fall_like,KT_Fall_cleaned.csv,57,2026-08-03 12:34:21.548,7.617476,0.7589999999995101,-0.25,-0.33,0.88,8.61,0.79,5.98,0.9725224933131367,10.512687572642877
kwanteng,fall_like,KT_Fall_cleaned.csv,59,2026-08-03 12:34:21.549,7.619094,1.6179999999996753,-0.27,-0.27,0.86,10.19,1.4,6.16,0.9409569596958194,11.989232669357952
kwanteng,fall_like,KT_Fall_cleaned.csv,61,2026-08-03 12:34:21.590,7.659942,40.84800000000044,-0.27,-0.27,0.86,7.14,-1.4,0.37,0.9409569596958194,7.285362036302657
kwanteng,fall_like,KT_Fall_cleaned.csv,63,2026-08-03 12:34:21.677,7.747442,87.50000000000036,-0.25,-0.3,0.88,2.26,-5.07,-6.84,0.9627564593395361,8.808978374363283
kwanteng,fall_like,KT_Fall_cleaned.csv,65,2026-08-03 12:34:21.679,7.748828,1.3859999999992212,-0.24,-0.33,0.89,-0.24,-6.35,-11.35,0.979081201943945,13.007789973704218
kwanteng,fall_like,KT_Fall_cleaned.csv,66,2026-08-03 12:34:21.680,7.749679,0.8510000000008233,-0.21,-0.37,0.88,-0.37,-6.41,-13.61,0.9774456506629922,15.048491618763656
kwanteng,fall_like,KT_Fall_cleaned.csv,68,2026-08-03 12:34:21.722,7.791813,42.133999999999894,-0.14,-0.54,0.92,-10.68,-10.31,-15.08,1.0759182125050213,21.160456044234962
kwanteng,fall_like,KT_Fall_cleaned.csv,70,2026-08-03 12:34:21.766,7.835798,43.984999999999275,-0.07,-0.76,1.02,-31.37,-15.01,-5.13,1.2739309243440164,35.152438037780534
kwanteng,fall_like,KT_Fall_cleaned.csv,72,2026-08-03 12:34:21.809,7.879257,43.45900000000036,-0.09,-0.71,1.01,-23.13,-5.19,24.11,1.2378610584391125,33.81161191070311
kwanteng,fall_like,KT_Fall_cleaned.csv,74,2026-08-03 12:34:21.853,7.923024,43.76699999999989,-0.19,-0.4,0.88,15.62,15.38,56.46,0.9851395840184273,60.5661654721512
kwanteng,fall_like,KT_Fall_cleaned.csv,75,2026-08-03 12:34:22.027,8.097605,174.58099999999988,-0.31,-0.11,0.79,34.24,24.54,70.5,0.8557452892070163,82.1269699915929
kwanteng,fall_like,KT_Fall_cleaned.csv,77,2026-08-03 12:34:22.028,8.098778,1.1729999999996465,-0.38,0.01,0.79,21.79,18.01,59.02,0.8766983517721475,65.44100090921593
kwanteng,fall_like,KT_Fall_cleaned.csv,79,2026-08-03 12:34:22.031,8.100305,1.5270000000011663,-0.4,-0.04,0.83,2.93,6.41,32.53,0.9222255689363639,33.284739746616616
kwanteng,fall_like,KT_Fall_cleaned.csv,81,2026-08-03 12:34:22.032,8.101911,1.605999999998886,-0.37,-0.15,0.87,-6.29,-1.71,6.96,0.9572356031824141,9.535711824504766
kwanteng,fall_like,KT_Fall_cleaned.csv,82,2026-08-03 12:34:22.033,8.103039,1.1280000000013501,-0.37,-0.15,0.87,-9.46,-5.31,-9.89,0.9572356031824141,14.679911443874586
kwanteng,fall_like,KT_Fall_cleaned.csv,83,2026-08-03 12:34:22.071,8.140991,37.951999999998876,-0.31,-0.28,0.9,-9.46,-5.31,-9.89,0.9922197337283712,14.679911443874586
kwanteng,fall_like,KT_Fall_cleaned.csv,84,2026-08-03 12:34:22.115,8.185048,44.05700000000046,-0.28,-0.38,0.9,-10.86,-5.31,-15.62,1.016267681273,19.751458174018442
kwanteng,fall_like,KT_Fall_cleaned.csv,86,2026-08-03 12:34:22.290,8.360094,175.04600000000005,-0.27,-0.39,0.88,-5.62,-2.2,-12.82,0.999699954986495,14.169573035204696
kwanteng,fall_like,KT_Fall_cleaned.csv,88,2026-08-03 12:34:22.291,8.361633,1.538999999999291,-0.28,-0.36,0.85,1.28,-0.31,-7.75,0.9646242791885346,7.861106792303485
kwanteng,fall_like,KT_Fall_cleaned.csv,90,2026-08-03 12:34:22.293,8.36337,1.7370000000003216,-0.29,-0.32,0.86,3.23,-2.38,-4.94,0.9623408959407264,6.364031740964213
kwanteng,fall_like,KT_Fall_cleaned.csv,91,2026-08-03 12:34:22.294,8.3641,0.7300000000007856,-0.3,-0.3,0.88,3.42,-4.94,-4.76,0.976933979345585,7.665350611681112
kwanteng,fall_like,KT_Fall_cleaned.csv,93,2026-08-03 12:34:22.334,8.403319,39.21899999999923,-0.29,-0.3,0.89,3.54,-5.86,-6.29,0.9829547293746543,9.297058674656196
